Year	Samp	Site	Treat	Rep	HL
2015	DSB1	DS	O	1	1.673079829
2015	DSA1	DS	O	2	0.518802467
2015	DSA2	DS	O	3	0.669102245
2015	HHRB1	HH	O	1	1.707910443
2015	HHRB4	HH	O	2	0.31802233
2015	PSRA5	PS	O	1	0.668029966
2015	PSRA3	PS	O	2	0.775397752
2015	WLRC1	WL	O	1	0.26445447
2015	WLRC5	WL	O	2	0.739279162
2017	HHC1	HH	C	1	0.920564376
2017	HHC2	HH	C	2	0.807633892
2017	HHD1	HH	D	1	0.794338266
2017	HHD2	HH	D	2	0.612590941
2017	HHD3	HH	D	3	0.465654131
2017	HHF1	HH	F	1	0.571298249
2017	HHF2	HH	F	2	0.722993738
2017	HHF3	HH	F	3	0.606088302
2017	HHS1	HH	S	1	0.75088096
2017	HHS3	HH	S	3	0.231053316
2017	HHT1	HH	T	1	0.379873702
2017	HHT2	HH	T	2	0.64903371
2017	HHT3	HH	T	3	0.841849598
2017	PSC1	PS	C	1	1.409994401
2017	PSC2	PS	C	2	0.486958755
2017	PSC3	PS	C	3	0.926449262
2017	PSD1	PS	D	1	0.749554419
2017	PSD2	PS	D	2	0.680421242
2017	PSD3	PS	D	3	0.588778782
2017	PSF1	PS	F	1	1.04997583
2017	PSF2	PS	F	2	0.81719817
2017	PSF3	PS	F	3	0.392929843
2017	PSS1	PS	S	1	0.717873175
2017	PSS2	PS	S	2	0.969713398
2017	PSS3	PS	S	3	0.790782847
2017	PST1	PS	T	1	0.892554777
2017	PST2	PS	T	2	1.090630144
2017	PST3	PS	T	3	0.404105494
2017	WLC1	WL	C	1	0.562342565
2017	WLC2	WL	C	2	0.490300952
2017	WLC3	WL	C	3	0.485810561
2017	WLD1	WL	D	1	0.467864611
2017	WLD2	WL	D	2	0.871751151
2017	WLD3	WL	D	3	0.977699647
2017	WLF1	WL	F	1	0.278461598
2017	WLF2	WL	F	2	0.489650197
2017	WLF3	WL	F	3	0.76069732
2017	WLS1	WL	S	1	0.266472798
2017	WLS2	WL	S	2	0.328338566
2017	WLS3	WL	S	3	1.212847525
2017	WLT1	WL	T	1	0.437262189
2017	WLT2	WL	T	2	0.480259476
2017	WLT3	WL	T	3	0.664575047
